77500,Lesser Stitch Golems (2),5.49,01/15/18,Bones
77501,Minotaur,3.49,01/15/18,Bones
77502,Jungle Titan,6.29,01/15/18,Bones
77503,Temple Dragon,5.99,01/15/18,Bones
77504,Death Star Lilies (2),5.49,01/15/18,Bones
77505,Dragon Plant,3.99,01/15/18,Bones
77506,Kobolds (6),3.99,01/15/18,Bones
77507,Bandit Leader,2.79,01/15/18,Bones
77508,Bandit Bully,2.79,01/15/18,Bones
77509,Bandit Enforcer,2.79,01/15/18,Bones
77510,Bandit Knocker,2.79,01/15/18,Bones
77511,Xiloxoch| Naga,3.49,01/15/18,Bones
77512,Flesh Golem,3.29,01/15/18,Bones
